Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_Disc_D4.3mm_W1.9mm_P5.00mm,1,C_0.1uF,
"D1, D2, D3, D4, D5, D6, D7, D8",LED_D5.0mm,8,LED_RED,
J1,8_Bit_CPU_Bus_PinSocket_Bottom_Side,1,Conn_02x30_8-Bit_CPU,
"R1, R2, R3, R4, R5, R6, R7, R8",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,8,R_220,
"U1, U2",DIP-16_W7.62mm,2,74LS173,
U3,DIP-20_W7.62mm,1,74LS245,
